iso3,country_name,year,CO_emissions_tonnes,displacement,hazard_type_name
NLD,Netherlands,2020,419647.0,4000,Wildfire
NLD,Netherlands,2020,419647.0,3,Wildfire
NLD,Netherlands,2021,410984.89999999997,51343,Flood
MNE,Montenegro,2010,21803.170000000002,1350,Flood
MNE,Montenegro,2012,19584.440000000002,800,Flood
MNE,Montenegro,2016,15472.630000000001,400,Flood
MNE,Montenegro,2017,16267.43,2,Wildfire
SVK,Slovak Republic,2018,320208.39999999997,274,Flood
SVK,Slovak Republic,2020,279159.10000000003,60,Flood
HRV,Croatia,2014,250070.4,17631,Flood
HRV,Croatia,2015,270457.7,50,Wildfire
HRV,Croatia,2015,270457.7,960,Flood
HRV,Croatia,2017,253875.2,33,Wildfire
HRV,Croatia,2017,253875.2,200,Wildfire
HRV,Croatia,2018,233108.5,23,Mass Movement
HRV,Croatia,2018,233108.5,56,Flood
HRV,Croatia,2018,233108.5,40,Wildfire
HRV,Croatia,2018,233108.5,20,Flood
HRV,Croatia,2022,206432.7,100,Wildfire
CYP,Cyprus,2016,11131.76,40,Wildfire
CYP,Cyprus,2018,10066.01,8,Wildfire
CYP,Cyprus,2021,9008.124,59,Wildfire
CYP,Cyprus,2022,8951.552,54,Wildfire
UKR,Ukraine,2008,1870484.0,25000,Flood
UKR,Ukraine,2013,1667934.0,600,Flood
UKR,Ukraine,2016,1442811.0,126,Flood
UKR,Ukraine,2020,1498425.0,800,Flood
UKR,Ukraine,2020,1498425.0,200,Wildfire
UKR,Ukraine,2020,1498425.0,30,Wildfire
UKR,Ukraine,2020,1498425.0,1000,Wildfire
UKR,Ukraine,2021,992971.9,1783,Flood
UKR,Ukraine,2021,992971.9,164,Flood
UKR,Ukraine,2021,992971.9,50,Flood
UKR,Ukraine,2022,468980.0,1,Wildfire
HUN,Hungary,2013,554839.5,1254,Flood
HUN,Hungary,2014,474871.4,6,Extreme Temperature
HUN,Hungary,2014,474871.4,287,Flood
HUN,Hungary,2017,433291.60000000003,96,Storm
HUN,Hungary,2019,352177.6,114,Storm
HUN,Hungary,2020,334168.2,14,Flood
AUT,Austria,2013,563661.0,1000,Flood
AUT,Austria,2016,534428.6,163,Mass Movement
AUT,Austria,2016,534428.6,66,Flood
AUT,Austria,2016,534428.6,25,Storm
AUT,Austria,2019,495711.2,209,Mass Movement
AUT,Austria,2019,495711.2,32,Mass Movement
AUT,Austria,2019,495711.2,31,Mass Movement
AUT,Austria,2021,536536.7999999999,56,Flood
AUT,Austria,2021,536536.7999999999,11,Storm
TJK,Tajikistan,2010,167080.7,25,Flood
TJK,Tajikistan,2010,167080.7,850,Flood
TJK,Tajikistan,2012,199904.2,390,Flood
TJK,Tajikistan,2014,231228.5,37,Flood
TJK,Tajikistan,2014,231228.5,425,Mass Movement
TJK,Tajikistan,2015,249361.6,10000,Flood
TJK,Tajikistan,2016,246001.5,2350,Mass Movement
TJK,Tajikistan,2017,236266.5,3691,Flood
TJK,Tajikistan,2017,236266.5,974,Mass Movement
TJK,Tajikistan,2018,228180.5,5429,Flood
TJK,Tajikistan,2019,217766.4,4811,Mass Movement
TJK,Tajikistan,2020,194909.0,1525,Flood
TJK,Tajikistan,2021,207865.0,778,Flood
TJK,Tajikistan,2022,165078.2,72,Storm
TJK,Tajikistan,2022,165078.2,6,Mass Movement
TJK,Tajikistan,2022,165078.2,12,Mass Movement
TJK,Tajikistan,2022,165078.2,24,Mass Movement
TJK,Tajikistan,2022,165078.2,143,Mass Movement
NZL,New Zealand,2012,697659.1,450,Storm
NZL,New Zealand,2013,696177.2,50,Storm
NZL,New Zealand,2013,696177.2,160,Flood
NZL,New Zealand,2015,701146.0,40,Storm
NZL,New Zealand,2015,701146.0,400,Flood
NZL,New Zealand,2016,714982.7000000001,254,Flood
NZL,New Zealand,2016,714982.7000000001,30,Flood
NZL,New Zealand,2016,714982.7000000001,5,Flood
NZL,New Zealand,2017,726241.5,2000,Flood
NZL,New Zealand,2017,726241.5,80,Wildfire
NZL,New Zealand,2017,726241.5,1000,Wildfire
NZL,New Zealand,2017,726241.5,1000,Flood
NZL,New Zealand,2017,726241.5,2000,Flood
NZL,New Zealand,2017,726241.5,170,Flood
NZL,New Zealand,2018,717392.0,20,Flood
NZL,New Zealand,2018,717392.0,81,Flood
NZL,New Zealand,2018,717392.0,81,Wildfire
NZL,New Zealand,2018,717392.0,270,Wildfire
NZL,New Zealand,2018,717392.0,20,Flood
NZL,New Zealand,2018,717392.0,27,Wildfire
NZL,New Zealand,2018,717392.0,100,Flood
NZL,New Zealand,2018,717392.0,35,Storm
NZL,New Zealand,2018,717392.0,81,Flood
NZL,New Zealand,2018,717392.0,8,Storm
NZL,New Zealand,2018,717392.0,250,Storm
NZL,New Zealand,2018,717392.0,5,Wildfire
NZL,New Zealand,2018,717392.0,11,Mass Movement
NZL,New Zealand,2019,721497.8999999999,863,Wildfire
NZL,New Zealand,2019,721497.8999999999,262,Wildfire
NZL,New Zealand,2019,721497.8999999999,8,Wildfire
NZL,New Zealand,2019,721497.8999999999,8,Storm
NZL,New Zealand,2019,721497.8999999999,19,Wildfire
NZL,New Zealand,2019,721497.8999999999,135,Flood
NZL,New Zealand,2020,657333.9,3,Storm
NZL,New Zealand,2020,657333.9,3,Wildfire
NZL,New Zealand,2020,657333.9,1,Wildfire
NZL,New Zealand,2020,657333.9,3900,Flood
NZL,New Zealand,2020,657333.9,15,Flood
NZL,New Zealand,2020,657333.9,38,Flood
NZL,New Zealand,2020,657333.9,311,Flood
NZL,New Zealand,2020,657333.9,5,Wildfire
NZL,New Zealand,2020,657333.9,108,Wildfire
NZL,New Zealand,2020,657333.9,88,Storm
NZL,New Zealand,2020,657333.9,43,Wildfire
NZL,New Zealand,2020,657333.9,43,Wildfire
NZL,New Zealand,2020,657333.9,5,Wildfire
NZL,New Zealand,2020,657333.9,270,Wildfire
NZL,New Zealand,2020,657333.9,148,Wildfire
NZL,New Zealand,2021,670323.2000000001,6,Wildfire
NZL,New Zealand,2021,670323.2000000001,189,Storm
NZL,New Zealand,2021,670323.2000000001,16,Wildfire
NZL,New Zealand,2021,670323.2000000001,54,Wildfire
NZL,New Zealand,2021,670323.2000000001,8,Wildfire
NZL,New Zealand,2021,670323.2000000001,14,Wildfire
NZL,New Zealand,2021,670323.2000000001,15,Flood
NZL,New Zealand,2021,670323.2000000001,8,Wildfire
NZL,New Zealand,2021,670323.2000000001,675,Flood
NZL,New Zealand,2021,670323.2000000001,27,Wildfire
NZL,New Zealand,2021,670323.2000000001,135,Storm
NZL,New Zealand,2021,670323.2000000001,11,Flood
NZL,New Zealand,2021,670323.2000000001,32,Wildfire
NZL,New Zealand,2021,670323.2000000001,11,Flood
NZL,New Zealand,2021,670323.2000000001,30,Wildfire
NZL,New Zealand,2021,670323.2000000001,2900,Flood
NZL,New Zealand,2021,670323.2000000001,221,Storm
NZL,New Zealand,2021,670323.2000000001,11,Flood
PRT,Portugal,2008,386162.39999999997,38,Flood
PRT,Portugal,2015,283547.8,10,Flood
PRT,Portugal,2016,269986.60000000003,10,Flood
PRT,Portugal,2016,269986.60000000003,12,Flood
PRT,Portugal,2016,269986.60000000003,1000,Wildfire
PRT,Portugal,2016,269986.60000000003,30,Wildfire
PRT,Portugal,2017,268201.1,500,Wildfire
PRT,Portugal,2017,268201.1,133,Wildfire
PRT,Portugal,2017,268201.1,158,Wildfire
PRT,Portugal,2017,268201.1,6000,Wildfire
PRT,Portugal,2018,250163.19999999998,299,Wildfire
PRT,Portugal,2018,250163.19999999998,61,Storm
PRT,Portugal,2018,250163.19999999998,47,Wildfire
PRT,Portugal,2019,258560.2,496,Storm
PRT,Portugal,2019,258560.2,16,Flood
PRT,Portugal,2019,258560.2,9,Flood
PRT,Portugal,2019,258560.2,53,Storm
PRT,Portugal,2019,258560.2,70,Storm
PRT,Portugal,2020,228985.4,8,Storm
PRT,Portugal,2020,228985.4,20,Mass Movement
PRT,Portugal,2021,259459.60000000003,20,Storm
PRT,Portugal,2021,259459.60000000003,14,Storm
CZE,Czechia,2013,1254504.0,26438,Flood
CZE,Czechia,2018,1132594.0,12,Flood
CZE,Czechia,2020,1078083.0,2,Flood
CZE,Czechia,2020,1078083.0,17,Flood
CZE,Czechia,2020,1078083.0,2,Flood
CZE,Czechia,2020,1078083.0,12,Flood
CZE,Czechia,2020,1078083.0,10,Flood
CZE,Czechia,2021,1117102.0,20,Flood
CZE,Czechia,2021,1117102.0,2760,Storm
POL,Poland,2010,3393570.0,30000,Flood
POL,Poland,2019,2691785.0,18,Flood
POL,Poland,2020,2558209.0,400,Flood
POL,Poland,2020,2558209.0,22,Storm
POL,Poland,2021,2478616.0,8,Storm
POL,Poland,2021,2478616.0,113,Storm
